term	description
21-year deemed disposition rule of trusts	rule that every 21 years a trust is deemed to have disposed of all of its capital property at fair market value
`` look - see ''	slang expression meaning `` business review '' .
a vinculo matrimonii	latin : of marriage . the term is now used to refer to a final and permanent divorce .
ab initio	latin : from the start .
abatement	reduction in a rent because of deficiencies in a rental unit or building
abatement	diminishment of a gift under a will to satisfy debts of an estate
abatement	a reduction in some amount that is owed , usually granted by the person to whom the debt is owed . for example , a landlord might grant an abatement in rent . in estate law , the word may refer more specifically to a situation where property identified in a will cannot be given to the beneficiary because it had to be sold to pay off the deceased debts . debts are paid before gifts made in wills are distributed and where a specific gift has to be sold to pay off a debt , it is said to `` abate '' -lrb- compare with `` ademption '' -rrb- .
abbacinare	a barbaric form of corporal punishment meted out in the middle ages where persons would be permanently blinded by the pressing of hot irons to the open eyes .
abduction	to take someone away from a place without that person 's consent or by fraud . see also `` kidnapping '' .
abet	the act of encouraging or inciting another to do a certain thing , such as a crime .
above-guideline rent increase	a rent increase greater than the guideline
absentee	person whose rights or interests are being determined in a proceeding and whose whereabouts are unknown
absolute	complete and without conditions . for example , a bankrupt , usually after nine months receives an absolute order of discharge , which means all of his debts , with certain exceptions , are wiped out .
absolute liability	liability that is imposed automatically (usually under a statute) when certain conditions are met, without reference to negligence or intent
absolute liability offence	an offence for which the prosecution must prove that the defendant committed the illegal act; the defendant has no opportunity to argue reasonableness or due diligence
absolute privilege	a defence against defamation for statements made in a court or parliament, or between spouses
abstract of title	a chronological history of property showing the chain of title from its original grant to the present ownership .
abstract/abstract book	book in the registry system that records registered interests in land; record of all registrations affecting a parcel of land
abstracting	process of examining and summarizing into search notes the contents of all registered documents that affect title
abuse of process	conduct by a participant in a proceeding — for example, a flagrant and serious violation of the rules of procedure or of other reasonable expectations of the court or tribunal — that risks bringing the administration of justice into disrepute
accelerate	demand immediate payment
acceleration clause	clause permitting the chargee to demand immediate payment of the full amount of the loan in the event of default
acceleration clause	any clause in a contract which spells out that when certain actions are taken , the clause comes into effect . a common acceleration clause is the clause in a lease that says if a company goes into bankruptcy , three months rent is due as a preferred claim .
acceptance	when there has been acceptance of an offer made by one party in the bargaining process, the parties are assumed to have reached an agreement on contract terms, and a binding contract exists from that time
acceptance	the act of accepting something , usually a contract . for example , an offer is made to some person that that person buys certain goods for a certain amount of money . if the person to whom the offer is made agrees , then the offer is considered to be accepted .
access	the right to visit with the child and to obtain information regarding the child's health, education, and welfare
accessions	goods that are installed in or affixed to other goods .
accommodation	a human rights concept that refers to making changes that allow a person or group protected by the human rights code to participate in the workplace; most often required with respect to disability, creed, and pregnancy; for example, accommodating a blind employee could involve providing a voice synthesizer on a computer
accord and satisfaction	a means of discharging a contract whereby the parties agree to accept some form of compromise or settlement instead of performance of the original terms of the contract
accord and satisfaction	a term of contract law by which one party , having complied with its obligation under a contract , accepts some type of compensation from the other party -lrb- usually money and of a lesser value -rrb- in lieu of enforcing the contract and holding the other party to their obligation .
accredited interpreter	an interpreter used in a refugee hearing who has undergone a security check and has passed a language exam
accretion	slow accumulation over time
accretion	the imperceptible and gradual addition to land by the slow action of water .
acknowledgement and direction	document signed by parties to a real estate transaction authorizing their respective lawyers to sign and release the documents electronically on their behalf
acquiescence	action or inaction which binds a person legally even though it was not intended as such .
acquittal	a finding of not guilty
act	see statute
act	a bill which has passed through the various legislative steps and , hence , has become law .
act of god	an event which is caused solely by the effect of nature or natural causes and without any interference by humans whatsoever .
action	one of the two procedures by which a civil matter is commenced in the superior court; the other such procedure is an application
action	a proceeding in a court of law where one person seeks a court order for the enforcement of that person 's or company 's rights .
action splitting	dividing an action into two or more actions in order to bring it within the small claims court monetary jurisdiction
ad colligendum bona	when a person dies and there is no apparent executor or administrator , a person can be appointed by court order and for the limited and sole purpose of collecting , inventorizing and preserving the assets of the deceased until an appropriate full - fledged administrator can be found or appointed . this person is known as an administrator ad colligendum .
ad damnum	latin : refers to the parts or sections of a petition that speaks to the damages that were suffered and claimed by the plaintiff .
ad hoc	latin : for this purpose ; for a specific purpose .
ad idem	see consensus ad idem
ad infinitum	latin : forever ; without limit ; indefinitely .
ad litem	latin : for the suit . a person appointed only for the purposes of prosecuting or defending an action on behalf of another such as a child or mentally - challenged person . also called a guardian ad litem .
addendum	an attachment to a written document . for example , affidavits may be addendums to a petition as a petition may be an addendum to a writ .
ademption	situation that occurs when the object of a specific gift does not exist or is not owned by the testator at the time of his death
ademption	a reference to the fact that property identified in a will cannot be given to the beneficiary because it no longer belonged to the deceased at the time of death .
adequate notice	the requirement for a party who wants to rely on an exclusion clause in a contract to bring the clause to the other party's attention and explain its legal implications before the contract is signed
adhesion contract	a standardized contract for goods or services offered to consumers on a non-negotiable or "take it or leave it" basis, without offering consumers the opportunity to bargain over the terms of the contract
adhesion contract	a fine - print consumer form contract which is generally given to consumers at point - of - sale , with no opportunity for negotiation as to it 's terms , and which , typically , sets out the terms and conditions of the sale , usually to the advantage of the seller .
adjoining land	property that shares a common boundary with the property being searched
adjourn	put the trial over to a new date
adjournment	postponement, usually of a hearing, and usually at the time that the hearing was to begin or after it has begun
adjournment	the delay or postponement usually to another time of a meeting or action .
adjudication	the process of receiving and considering the evidence and arguments presented by both sides in a dispute and making a binding decision by applying relevant law to the issues in the case
adjudicator	the tribunal member or panel of tribunal members responsible for conducting a hearing and deciding the matter in dispute
adjusted cost base	the cost at which capital property was acquired
adjusted sale price	the value at which capital property is transferred
adjustment date	the date on which parties agree that certain financial adjustments will be made to a contract . for example , on the sale of property , there is an adjustment date set which is the time for the costs , such as property taxes , water , etc . , to be apportioned between the purchaser and the vendor .
administration bond of indemnity	promise by the estate trustee to administer the estate properly and promise by the estate trustee and a third party, such as an insurance company, to indemnify any creditors or beneficiaries prejudiced by the failure to do so
administrative agency	a body created by a statute to administer that statute; administrative agencies are empowered to investigate complaints, make rulings, and sometimes issue orders
administrative law	law that governs the organization, duties, and quasi-judicial and judicial powers of the executive branch of government, including both central departments and agencies; a branch of public law
administrative law	synonymous with `` natural justice . '' administrative law is that body of law which applies for hearings before quasi - judicial or administrative tribunals .
administrative notice	see judicial notice
administrative tribunal	a quasi-judicial bodyestablished under legislation to implement legislative policy — for example, the immigration and refugee board is an administrative tribunal established under the irpa
administrator	a person who is appointed by the court to administer the property of a person who has died without naming an executor in a will
administrator	bankruptcy law : a trustee or person appointed or designated by the superintendent of bankruptcy to administer consumer proposals .
admissibility	the qualification of information to be received as evidence in a proceeding as determined by the tests of relevance, reliability, necessity, and fairness; see also admissible evidence
admissibility hearing	the hearing that is held at the immigration division when a person allegedly breaches canadian immigration laws pursuant to s. 44 of the irpa, where an officer is of the opinion that a permanent resident or foreign national is inadmissible
admissible evidence	evidence that may be considered by the trier of fact because it meets the tests of relevance, reliability, necessity, and fairness
